model_name,hidden_size,train_count,val_count,test_count,max_sequence_length,input_min,input_max,early_stop_epoch,test_error
L1NormLinear,16,30000,10000,10000,20,-20,20,,0.00021706170809920877
L1NormLinear,32,30000,10000,10000,20,-20,20,31.0,0.0007370277890004218
L1NormLinear,64,30000,10000,10000,20,-20,20,45.0,0.00038560014218091965
L1NormLinear,16,30000,10000,10000,20,-40,40,,0.00031460000900551677
L1NormLinear,32,30000,10000,10000,20,-40,40,21.0,0.008658218197524548
L1NormLinear,64,30000,10000,10000,20,-40,40,33.0,0.004372110590338707
L1NormLinear,16,30000,10000,10000,40,-20,20,44.0,0.0013563197571784258
L1NormLinear,32,30000,10000,10000,40,-20,20,46.0,0.0018277036724612117
L1NormLinear,64,30000,10000,10000,40,-20,20,37.0,0.004412415437400341
L1NormLinear,16,30000,10000,10000,40,-40,40,29.0,0.009952041320502758
L1NormLinear,32,30000,10000,10000,40,-40,40,42.0,0.005300347227603197
L1NormLinear,64,30000,10000,10000,40,-40,40,31.0,0.012910228222608566
L1NormLinear,16,30000,10000,10000,80,-20,20,32.0,0.008277831599116325
L1NormLinear,32,30000,10000,10000,80,-20,20,,0.010215993039309978
L1NormLinear,64,30000,10000,10000,80,-20,20,33.0,0.012296415865421295
L1NormLinear,16,30000,10000,10000,80,-40,40,36.0,0.012259324081242085
L1NormLinear,32,30000,10000,10000,80,-40,40,38.0,0.04134020954370499
L1NormLinear,64,30000,10000,10000,80,-40,40,18.0,0.22314421832561493
L1NormLinear,16,80000,30000,30000,20,-20,20,37.0,4.531752347247675e-05
L1NormLinear,32,80000,30000,30000,20,-20,20,36.0,4.049243580084294e-05
L1NormLinear,64,80000,30000,30000,20,-20,20,14.0,0.001518651028163731
L1NormLinear,16,80000,30000,30000,20,-40,40,35.0,6.898482388351113e-05
L1NormLinear,32,80000,30000,30000,20,-40,40,32.0,0.0003168264520354569
L1NormLinear,64,80000,30000,30000,20,-40,40,17.0,0.002533526858314872
L1NormLinear,16,80000,30000,30000,40,-20,20,29.0,0.0002325673558516428
L1NormLinear,32,80000,30000,30000,40,-20,20,39.0,0.0001838603348005563
L1NormLinear,64,80000,30000,30000,40,-20,20,24.0,0.0018435573438182473
L1NormLinear,16,80000,30000,30000,40,-40,40,32.0,0.0008311659912578762
L1NormLinear,32,80000,30000,30000,40,-40,40,23.0,0.005903184413909912
L1NormLinear,64,80000,30000,30000,40,-40,40,34.0,0.0023506309371441603
L1NormLinear,16,80000,30000,30000,80,-20,20,21.0,0.005407417193055153
L1NormLinear,32,80000,30000,30000,80,-20,20,28.0,0.0032741413451731205
L1NormLinear,64,80000,30000,30000,80,-20,20,18.0,0.02187209203839302
L1NormLinear,16,80000,30000,30000,80,-40,40,46.0,0.0024321386590600014
L1NormLinear,32,80000,30000,30000,80,-40,40,26.0,0.01598360203206539
L1NormLinear,64,80000,30000,30000,80,-40,40,44.0,0.008674677461385727
